sample_id,is_correct,num_meta_blocks,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,full_sequence_entropy,full_sequence_surprisal,completion_length_tokens
77,False,1,1.059367,1.001611,1.152116,0.092749,0.486580,0.614126,0.457392,-0.029188,0.375728,0.227784,1936
78,False,1,1.047190,0.745631,0.604472,-0.442718,0.543773,0.391121,0.367292,-0.176481,0.453129,0.246525,299
79,False,1,0.721681,0.792628,0.684466,-0.037215,0.291360,0.447020,0.286452,-0.004909,0.598570,0.338084,546
80,True,1,0.671130,0.748708,0.377767,-0.293363,0.296213,0.445406,0.121446,-0.174767,0.329430,0.195475,540
81,True,1,1.033215,0.741706,0.256334,-0.776881,0.507496,0.505359,0.050273,-0.457223,0.329937,0.201282,455
82,False,1,0.753595,0.477309,0.350424,-0.403171,0.242430,0.277668,0.163284,-0.079146,0.230410,0.129566,383
83,False,1,0.623433,0.657179,0.701991,0.078558,0.272358,0.373014,0.301204,0.028846,0.342207,0.207552,1206
84,True,1,1.040464,0.721960,0.600033,-0.440431,0.713036,0.466856,0.307034,-0.406002,0.295042,0.191123,549
85,False,1,1.154518,0.688281,0.651387,-0.503131,0.552470,0.400451,0.359466,-0.193004,0.412494,0.255867,1143
86,False,1,1.179154,0.706907,0.798302,-0.380852,0.448315,0.409982,0.281076,-0.167239,0.368240,0.219667,498
87,False,1,1.106760,0.658757,0.816389,-0.290371,0.581352,0.375730,0.278136,-0.303216,0.491055,0.264514,451
88,False,1,0.961344,0.772085,1.240052,0.278707,0.607546,0.409352,0.593822,-0.013725,0.323700,0.178511,897
89,False,1,1.007698,0.695484,0.552436,-0.455262,0.532550,0.386194,0.412526,-0.120024,0.258447,0.152936,1713
90,False,1,1.286627,0.730073,0.623834,-0.662793,0.589522,0.542852,0.263385,-0.326137,0.480837,0.323381,268
91,False,1,1.076574,0.801360,0.541791,-0.534783,0.359073,0.410220,0.182183,-0.176890,0.502025,0.301231,728
92,True,1,1.065031,0.485823,0.230523,-0.834508,0.605058,0.303963,0.045276,-0.559782,0.326682,0.207410,260
93,True,1,0.243394,0.732129,0.833160,0.589766,0.072848,0.421757,0.373590,0.300742,0.285628,0.178940,837
94,False,1,1.182375,0.682846,0.616873,-0.565502,0.349418,0.450459,0.415306,0.065888,0.279712,0.169816,529
95,False,1,1.018919,0.545341,0.558222,-0.460697,0.336341,0.318865,0.380677,0.044335,0.345522,0.211081,286
96,False,1,1.350826,0.875430,1.005672,-0.345154,0.961530,0.498729,0.437486,-0.524044,0.363034,0.224290,1015
97,True,1,1.199999,0.629961,0.648878,-0.551121,0.656798,0.301191,0.573566,-0.083232,0.503112,0.302614,204
98,True,1,1.009058,0.478583,0.387346,-0.621712,4.632688,0.276348,0.139135,-4.493552,0.260918,0.162804,233
99,False,1,0.822805,0.876549,0.615558,-0.207247,0.360019,0.458921,0.452413,0.092395,0.396459,0.223121,613
