sample_id,block_idx,is_correct,before_entropy,conf_entropy,after_entropy,delta_entropy,before_surprisal,conf_surprisal,after_surprisal,delta_surprisal,conf_length_tokens
25,0,True,0.3709447383880615,0.43560919165611267,0.36945849657058716,-0.0014862418174743652,0.6297539472579956,0.7573457956314087,0.25368815660476685,-0.37606579065322876,7
26,0,True,0.3234021067619324,0.42706090211868286,0.3750911355018616,0.0516890287399292,0.6408647894859314,0.731094241142273,0.23567801713943481,-0.4051867723464966,7
27,0,True,0.4073532819747925,0.4209950268268585,0.36524543166160583,-0.042107850313186646,0.8057423830032349,0.7702537775039673,0.27225202322006226,-0.5334903597831726,7
28,0,True,0.4460775852203369,0.42664092779159546,0.3642042279243469,-0.08187335729598999,0.6139260530471802,0.7995601296424866,0.22539013624191284,-0.38853591680526733,7
29,0,True,0.33498242497444153,0.4291399419307709,0.3672769069671631,0.03229448199272156,0.6493776440620422,0.7548066973686218,0.23731839656829834,-0.4120592474937439,7
30,0,True,0.3971271514892578,0.4251689314842224,0.4125767946243286,0.0154496431350708,0.9880697727203369,0.7649117112159729,0.24197599291801453,-0.74609375,7
31,0,True,0.35033875703811646,0.4229615032672882,0.3659195899963379,0.015580832958221436,0.6980864405632019,0.755793035030365,0.27266716957092285,-0.42541927099227905,7
32,0,True,0.2792249917984009,0.41915789246559143,0.3724633753299713,0.09323838353157043,0.6504378914833069,0.8446226119995117,0.23858171701431274,-0.41185617446899414,7
33,0,True,0.36390191316604614,0.4316547214984894,0.376750648021698,0.012848734855651855,0.6871559619903564,0.6998602747917175,0.28549498319625854,-0.4016609787940979,7
34,0,True,0.333938330411911,0.42596355080604553,0.36378195881843567,0.029843628406524658,0.6437657475471497,0.7797579169273376,0.24636612832546234,-0.3973996043205261,7
35,0,True,0.3351658284664154,0.4240745007991791,0.36709773540496826,0.031931906938552856,0.6496872901916504,0.7633451223373413,0.2746102213859558,-0.3750770688056946,7
36,0,False,0.8550522327423096,0.46109458804130554,0.3760856091976166,-0.478966623544693,1.2521663904190063,0.7284857034683228,0.18749265372753143,-1.0646737813949585,7
37,0,True,0.3325859308242798,0.4479507505893707,0.36966341733932495,0.037077486515045166,0.6723277568817139,0.73895263671875,0.2808215022087097,-0.39150625467300415,7
