sample_id,is_correct,num_meta_blocks,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,full_sequence_entropy,full_sequence_surprisal,completion_length_tokens
77,True,1,0.015249,0.000223,0.003040,-0.012209,0.001213,0.000022,0.000345,-0.000868,0.020016,0.006445,171
78,True,1,0.038742,0.000176,0.004645,-0.034097,0.003212,0.000015,0.000616,-0.002596,0.036826,0.029777,237
79,True,1,0.090731,0.001076,0.001148,-0.089584,0.024780,0.000116,0.000112,-0.024667,0.043131,0.027241,114
80,True,1,0.027531,0.002022,0.001078,-0.026453,0.002216,0.000240,0.000106,-0.002111,0.026114,0.023905,165
81,True,1,0.014463,0.006566,0.001167,-0.013296,0.001156,0.001042,0.000110,-0.001046,0.010335,0.004639,159
82,True,1,0.027125,0.004539,0.001116,-0.026009,0.003614,0.000662,0.000104,-0.003509,0.018549,0.011513,153
83,True,1,0.029489,0.000568,0.001203,-0.028286,0.002462,0.000057,0.000123,-0.002338,0.012276,0.003756,117
84,True,1,0.083719,0.001563,0.001255,-0.082464,0.007891,0.000180,0.000123,-0.007768,0.013135,0.012172,193
85,True,1,0.018869,0.000358,0.002073,-0.016796,0.002073,0.000032,0.000224,-0.001849,0.054702,0.045680,161
86,False,1,0.044184,0.004761,0.003207,-0.040976,0.005801,0.000718,0.000358,-0.005443,0.042150,0.029603,283
87,True,1,0.050139,0.000135,0.007050,-0.043089,0.014818,0.000012,0.000839,-0.013979,0.024934,0.013805,265
88,False,1,0.113037,0.001305,0.002614,-0.110423,0.037059,0.000144,0.000283,-0.036776,0.049390,0.034426,178
89,True,1,0.007134,0.004047,0.002317,-0.004817,0.000532,0.000530,0.000246,-0.000285,0.023278,0.026320,156
90,True,1,0.012736,0.000761,0.001661,-0.011075,0.000982,0.000080,0.000166,-0.000816,0.014552,0.005437,143
91,True,1,0.024593,0.003987,0.001042,-0.023552,0.002489,0.000529,0.000098,-0.002391,0.018440,0.008727,156
92,True,1,0.003424,0.002037,0.002348,-0.001076,0.000238,0.000255,0.000246,0.000009,0.041078,0.037166,226
93,True,1,0.009870,0.007240,0.001032,-0.008837,0.000715,0.001127,0.000099,-0.000615,0.028209,0.014124,233
94,True,1,0.033909,0.004526,0.000709,-0.033200,0.002803,0.000659,0.000064,-0.002738,0.017348,0.014300,178
95,True,1,0.033113,0.000265,0.001111,-0.032002,0.003137,0.000024,0.000111,-0.003026,0.026356,0.009040,108
96,True,1,0.103251,0.002352,0.004208,-0.099042,0.060930,0.000323,0.000488,-0.060442,0.049674,0.035528,208
97,True,1,0.009912,0.000821,0.001246,-0.008666,0.000724,0.000091,0.000123,-0.000601,0.044557,0.025221,460
98,True,1,0.022226,0.006921,0.002038,-0.020188,0.001767,0.001090,0.000208,-0.001559,0.038519,0.034824,167
