sample_id,block_idx,is_correct,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,meta_start_tok,meta_end_tok,meta_length_tokens
91,0,True,0.024593,0.003987,0.001042,-0.023552,0.002489,0.000529,0.000098,-0.002391,156,162,7
92,0,True,0.003424,0.002037,0.002348,-0.001076,0.000238,0.000255,0.000246,0.000009,258,264,7
93,0,True,0.009870,0.007240,0.001032,-0.008837,0.000715,0.001127,0.000099,-0.000615,231,237,7
94,0,True,0.033909,0.004526,0.000709,-0.033200,0.002803,0.000659,0.000064,-0.002738,168,174,7
95,0,True,0.033113,0.000265,0.001111,-0.032002,0.003137,0.000024,0.000111,-0.003026,89,95,7
96,0,True,0.103251,0.002352,0.004208,-0.099042,0.060930,0.000323,0.000488,-0.060442,210,215,6
97,0,True,0.009912,0.000821,0.001246,-0.008666,0.000724,0.000091,0.000123,-0.000601,505,511,7
98,0,True,0.022226,0.006921,0.002038,-0.020188,0.001767,0.001090,0.000208,-0.001559,197,203,7
99,0,False,0.091493,0.001883,0.002464,-0.089029,0.087092,0.000218,0.000270,-0.086822,264,270,7
100,0,True,0.090805,0.000273,0.005563,-0.085242,0.087064,0.000026,0.000655,-0.086409,243,248,6
101,0,False,0.092949,0.002516,0.002286,-0.090663,0.028076,0.000326,0.000254,-0.027822,215,221,7
102,0,True,0.103978,0.001413,0.002342,-0.101637,0.081553,0.000151,0.000248,-0.081305,193,199,7
103,0,True,0.115508,0.000237,0.002234,-0.113274,0.108243,0.000020,0.000254,-0.107989,178,183,6
104,0,True,0.018910,0.000987,0.001028,-0.017883,0.001547,0.000108,0.000097,-0.001450,86,92,7
105,0,True,0.013987,0.000958,0.001117,-0.012870,0.001116,0.000111,0.000111,-0.001005,174,180,7
106,0,True,0.048381,0.000740,0.001271,-0.047110,0.011051,0.000084,0.000124,-0.010926,313,319,7
107,0,True,0.019057,0.000762,0.001347,-0.017710,0.001525,0.000082,0.000130,-0.001396,264,270,7
108,0,True,0.013225,0.001785,0.005943,-0.007282,0.001017,0.000199,0.000732,-0.000285,153,159,7
109,0,True,0.010167,0.000257,0.002649,-0.007518,0.000925,0.000022,0.000283,-0.000642,214,219,6
110,0,True,0.015602,0.001692,0.001522,-0.014080,0.002816,0.000192,0.000155,-0.002661,262,268,7
111,0,True,0.010581,0.001842,0.001691,-0.008889,0.000777,0.000195,0.000172,-0.000605,202,208,7
112,0,True,0.075232,0.000798,0.001184,-0.074048,0.008132,0.000082,0.000120,-0.008013,91,97,7
113,0,True,0.046697,0.000044,0.003270,-0.043427,0.011118,0.000003,0.000408,-0.010710,312,317,6
114,0,True,0.028940,0.010108,0.003633,-0.025307,0.003495,0.001547,0.000412,-0.003083,662,668,7
115,0,True,0.008359,0.003680,0.001826,-0.006532,0.000956,0.000491,0.000187,-0.000769,158,164,7
116,0,True,0.127230,0.000927,0.001944,-0.125286,0.053732,0.000094,0.000207,-0.053525,89,95,7
117,0,True,0.071938,0.000098,0.006455,-0.065483,0.026174,0.000008,0.000824,-0.025350,185,190,6
118,0,True,0.014081,0.001961,0.001617,-0.012463,0.001071,0.000235,0.000178,-0.000893,125,131,7
119,0,True,0.041922,0.000065,0.007564,-0.034357,0.006499,0.000005,0.001104,-0.005395,169,174,6
120,0,False,0.014405,0.004853,0.001959,-0.012446,0.001100,0.000688,0.000224,-0.000876,280,286,7
121,0,True,0.022986,0.003442,0.000785,-0.022201,0.001856,0.000457,0.000071,-0.001785,145,151,7
122,0,True,0.016011,0.000147,0.005920,-0.010091,0.001273,0.000012,0.000721,-0.000552,185,190,6
123,0,True,0.009227,0.000783,0.000710,-0.008518,0.000700,0.000084,0.000066,-0.000634,257,263,7
124,0,True,0.012201,0.004368,0.001680,-0.010522,0.000929,0.000599,0.000168,-0.000761,127,133,7
125,0,True,0.018570,0.001139,0.000902,-0.017668,0.001529,0.000121,0.000084,-0.001445,100,106,7
126,0,True,0.011191,0.002897,0.001680,-0.009511,0.000841,0.000368,0.000180,-0.000660,278,284,7
127,0,True,0.085702,0.002206,0.010350,-0.075352,0.142832,0.000286,0.001484,-0.141348,204,210,7
128,0,True,0.027088,0.000586,0.002964,-0.024124,0.002225,0.000053,0.000324,-0.001900,140,145,6
129,0,True,0.041013,0.002305,0.001319,-0.039694,0.003597,0.000281,0.000133,-0.003464,105,111,7
130,0,True,0.019145,0.000617,0.003442,-0.015703,0.001509,0.000063,0.000376,-0.001133,196,202,7
131,0,True,0.016295,0.003867,0.002420,-0.013875,0.001262,0.000536,0.000270,-0.000992,139,145,7
132,0,True,0.021075,0.000589,0.002174,-0.018901,0.001720,0.000058,0.000261,-0.001460,78,84,7
133,0,True,0.019527,0.003211,0.001791,-0.017736,0.001619,0.000410,0.000188,-0.001431,141,147,7
134,0,True,0.015806,0.000016,0.001543,-0.014262,0.001244,0.000001,0.000150,-0.001094,134,139,6
135,0,True,0.004358,0.003810,0.006362,0.002003,0.000311,0.000468,0.000830,0.000519,296,302,7
136,0,True,0.016681,0.004358,0.004816,-0.011865,0.001448,0.000637,0.000590,-0.000857,239,245,7
137,0,False,0.044455,0.001030,0.006160,-0.038295,0.011791,0.000111,0.000761,-0.011030,602,608,7
138,0,True,0.010674,0.001506,0.000818,-0.009856,0.000872,0.000177,0.000075,-0.000797,132,138,7
139,0,True,0.019484,0.002397,0.002190,-0.017294,0.001535,0.000299,0.000233,-0.001302,183,189,7
140,0,True,0.101619,0.001580,0.002145,-0.099474,0.060745,0.000180,0.000233,-0.060512,131,137,7
141,0,True,0.036132,0.000946,0.005362,-0.030771,0.002979,0.000102,0.000679,-0.002300,214,220,7
142,0,True,0.016944,0.002920,0.054776,0.037831,0.001331,0.000384,0.010875,0.009544,292,298,7
143,0,True,0.018003,0.000529,0.005919,-0.012084,0.001449,0.000051,0.000744,-0.000705,167,172,6
144,0,True,0.023778,0.000127,0.002511,-0.021267,0.005069,0.000011,0.000269,-0.004800,205,210,6
145,0,False,0.006685,0.001759,0.004183,-0.002502,0.000486,0.000189,0.000491,0.000005,436,442,7
146,0,True,0.021880,0.005603,0.003338,-0.018542,0.001726,0.000709,0.000397,-0.001329,132,138,7
147,0,True,0.014711,0.001261,0.002059,-0.012652,0.001166,0.000141,0.000210,-0.000956,135,141,7
148,0,True,0.011904,0.001444,0.003716,-0.008189,0.000906,0.000170,0.000425,-0.000480,405,411,7
149,0,True,0.026581,0.001127,0.004556,-0.022025,0.004475,0.000113,0.000558,-0.003917,251,257,7
150,0,True,0.036025,0.001518,0.001432,-0.034594,0.003288,0.000167,0.000142,-0.003146,147,153,7
151,0,True,0.002426,0.003811,0.001987,-0.000439,0.000174,0.000503,0.000217,0.000043,430,436,7
152,0,True,0.094998,0.005499,0.005487,-0.089510,0.104169,0.000782,0.000661,-0.103508,287,293,7
153,0,True,0.019681,0.000176,0.003721,-0.015960,0.001954,0.000015,0.000480,-0.001474,264,269,6
154,0,True,0.022978,0.003663,0.001429,-0.021549,0.001968,0.000513,0.000139,-0.001829,190,196,7
155,0,True,0.014047,0.001791,0.004444,-0.009603,0.001097,0.000216,0.000532,-0.000565,372,378,7
156,0,True,0.078730,0.001531,0.001862,-0.076868,0.039765,0.000170,0.000194,-0.039571,150,156,7
157,0,True,0.017076,0.001707,0.003057,-0.014018,0.001356,0.000187,0.000336,-0.001020,144,150,7
158,0,True,0.012585,0.003582,0.001675,-0.010911,0.001119,0.000453,0.000163,-0.000956,128,134,7
159,0,True,0.048467,0.005761,0.002487,-0.045980,0.004191,0.000857,0.000275,-0.003916,220,226,7
160,0,True,0.013889,0.004561,0.001512,-0.012377,0.001060,0.000663,0.000155,-0.000905,191,197,7
161,0,True,0.146887,0.000519,0.002145,-0.144741,0.178646,0.000051,0.000227,-0.178419,214,220,7
162,0,True,0.016097,0.001798,0.002444,-0.013653,0.001346,0.000214,0.000264,-0.001081,191,197,7
163,0,True,0.018853,0.006396,0.002996,-0.015856,0.001613,0.001020,0.000348,-0.001265,281,287,7
164,0,True,0.017661,0.000177,0.003390,-0.014271,0.001496,0.000017,0.000392,-0.001104,141,146,6
165,0,True,0.025614,0.002748,0.000787,-0.024827,0.002219,0.000380,0.000071,-0.002148,178,184,7
166,0,True,0.116832,0.001161,0.000848,-0.115984,0.044269,0.000131,0.000077,-0.044192,98,104,7
167,0,True,0.008845,0.000966,0.001074,-0.007771,0.000645,0.000106,0.000108,-0.000538,123,129,7
168,0,True,0.107640,0.002080,0.001208,-0.106432,0.144565,0.000256,0.000123,-0.144443,186,192,7
169,0,True,0.004791,0.004093,0.002314,-0.002477,0.000342,0.000561,0.000248,-0.000094,172,178,7
170,0,True,0.005072,0.004510,0.001152,-0.003920,0.000365,0.000658,0.000114,-0.000251,268,274,7
171,0,False,0.108338,0.013112,0.003820,-0.104519,0.074462,0.002286,0.000416,-0.074046,320,326,7
172,0,True,0.027242,0.000290,0.006555,-0.020687,0.002692,0.000025,0.000996,-0.001696,296,301,6
173,0,True,0.014681,0.000493,0.004904,-0.009778,0.001182,0.000050,0.000573,-0.000609,250,255,6
