sample_id,block_idx,is_correct,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,meta_start_tok,meta_end_tok,meta_length_tokens
83,0,True,0.906902,0.767387,0.535663,-0.371239,0.309734,0.799664,0.162396,-0.147339,62,155,94
84,0,True,0.310502,0.240507,0.824616,0.514114,0.060764,0.274925,0.478108,0.417344,130,160,31
85,0,True,0.311467,0.224401,0.655554,0.344087,0.061713,0.248683,0.552520,0.490807,196,228,33
86,0,True,1.077025,0.871897,0.849305,-0.227720,0.962004,0.999181,0.828138,-0.133866,182,270,89
87,0,True,1.141128,0.650960,0.899338,-0.241790,2.163770,0.844782,0.578702,-1.585068,85,155,71
88,0,True,0.452350,0.217026,0.910845,0.458495,0.146897,0.207218,0.457105,0.310208,172,207,36
89,0,True,2.213324,0.926550,0.675240,-1.538084,2.155346,1.054941,1.387220,-0.768126,98,174,77
89,1,True,0.325455,0.233062,1.024461,0.699006,2.485686,0.174481,1.787129,-0.698557,1357,1433,77
90,0,True,1.981180,0.929403,1.167492,-0.813688,1.721154,0.944247,0.398832,-1.322322,354,440,87
91,0,True,1.545835,1.136197,1.289258,-0.256577,1.301320,1.063614,1.322181,0.020861,114,189,76
92,0,True,0.311842,0.303426,0.935505,0.623662,0.064224,0.234589,0.496267,0.432043,192,224,33
93,0,True,1.958466,1.021649,1.002450,-0.956016,1.184408,1.024006,0.717746,-0.466662,153,233,81
94,0,True,0.801149,0.290597,0.909787,0.108638,0.182580,0.295354,0.752426,0.569846,185,219,35
95,0,True,0.628747,0.768822,0.864816,0.236069,0.494762,1.597602,0.630963,0.136201,108,182,75
95,1,True,0.415509,0.063683,0.807062,0.391553,0.133001,0.039846,0.207907,0.074906,336,410,75
96,0,True,2.465754,1.158586,0.818619,-1.647135,1.252465,1.306165,1.152299,-0.100166,289,382,94
97,0,True,2.012587,1.221192,1.801195,-0.211392,1.771336,1.180699,0.989812,-0.781524,367,485,119
98,0,True,1.495723,0.765549,0.936082,-0.559641,1.920928,1.110527,0.814345,-1.106583,149,222,74
98,1,True,1.388275,0.162622,1.094401,-0.293875,1.256887,0.091092,1.395181,0.138294,1029,1102,74
99,0,True,2.420511,1.241980,1.056370,-1.364141,1.431616,1.343717,1.007560,-0.424056,434,545,112
100,0,True,0.430219,0.248758,0.717793,0.287574,0.628359,0.248682,0.371750,-0.256609,150,180,31
101,0,True,2.141255,0.831635,0.577654,-1.563601,2.692610,1.034400,0.646744,-2.045866,54,138,85
101,1,True,0.402610,0.049210,0.700681,0.298071,0.199738,0.040824,0.144722,-0.055017,393,477,85
102,0,True,1.409401,0.865003,0.569501,-0.839899,0.643953,1.152904,0.454283,-0.189670,138,223,86
103,0,True,0.851193,0.657111,0.776562,-0.074631,0.449358,0.822833,0.432471,-0.016886,81,149,69
104,0,True,0.358057,0.196844,0.792335,0.434278,0.068429,0.224277,0.378830,0.310402,228,262,35
105,0,True,1.869769,1.107822,1.446520,-0.423249,1.865475,1.219060,1.963647,0.098172,278,390,113
106,0,True,1.816426,0.784201,1.016073,-0.800353,1.819174,0.891004,0.473090,-1.346084,150,241,92
107,0,True,1.469424,0.803497,1.609614,0.140190,0.637543,0.931910,1.457242,0.819699,175,258,84
108,0,True,0.299782,0.242115,0.807225,0.507443,0.059663,0.256214,0.342305,0.282641,171,202,32
109,0,True,0.361501,0.278357,0.801919,0.440418,0.082089,0.236008,0.426815,0.344726,184,218,35
110,0,True,0.544200,0.272242,0.858976,0.314776,1.533453,0.238855,0.457698,-1.075755,80,111,32
111,0,True,2.250600,0.955888,1.381259,-0.869341,1.536273,1.083284,0.903933,-0.632340,193,270,78
112,0,True,0.307086,0.224611,0.661036,0.353950,0.061232,0.263365,0.303305,0.242073,181,212,32
113,0,True,1.437662,0.964138,1.535099,0.097437,0.563149,0.895014,0.700026,0.136877,316,413,98
114,0,True,1.249440,0.681833,0.976568,-0.272872,0.994705,1.020143,1.248527,0.253822,147,217,71
115,0,True,0.485588,0.241966,0.783361,0.297773,0.339860,0.220691,0.494006,0.154146,104,138,35
116,0,True,0.822180,0.559476,0.816574,-0.005606,0.727022,1.032019,0.257286,-0.469736,62,134,73
117,0,True,0.353675,0.273707,0.720839,0.367164,0.070277,0.235909,0.472366,0.402090,257,292,36
118,0,True,1.394473,1.106203,0.758792,-0.635681,1.319184,1.300136,0.778697,-0.540487,312,426,115
119,0,True,1.536697,0.674463,1.628437,0.091740,1.068746,1.097247,1.290095,0.221349,124,231,108
120,0,True,1.972678,1.015404,1.558863,-0.413815,1.742792,1.213589,1.236218,-0.506574,56,128,73
121,0,True,0.316148,0.244041,0.630418,0.314269,0.065692,0.229422,0.466537,0.400845,129,163,35
122,0,True,0.966414,1.136992,1.009555,0.043141,1.124112,1.347076,0.577816,-0.546296,112,224,113
123,0,True,0.376574,0.207013,0.798273,0.421699,0.080804,0.202800,0.622422,0.541617,149,183,35
124,0,True,0.474311,0.310619,0.832915,0.358604,0.142813,0.309373,0.819906,0.677093,191,221,31
125,0,True,1.530041,0.875799,1.197574,-0.332467,1.648846,1.083833,1.269575,-0.379271,212,309,98
126,0,True,1.461777,0.695862,0.723640,-0.738137,0.737422,0.790004,0.840434,0.103012,105,185,81
127,0,True,0.355469,0.271482,0.682325,0.326856,0.066102,0.245312,0.430677,0.364575,71,102,32
128,0,True,0.902147,0.727622,0.478057,-0.424091,0.935868,0.904912,0.113020,-0.822848,93,157,65
129,0,True,1.446506,0.831907,0.949558,-0.496948,0.998785,0.872631,1.425772,0.426987,187,277,91
130,0,True,0.952531,0.318090,1.682502,0.729971,0.263711,0.243312,1.015863,0.752151,444,476,33
131,0,True,1.872270,1.027490,0.962196,-0.910074,0.924875,1.349039,0.649682,-0.275193,304,399,96
132,0,True,1.189575,0.209272,0.925891,-0.263685,1.448349,0.197404,0.411935,-1.036414,136,171,36
133,0,True,1.720418,0.926180,1.166234,-0.554184,1.072144,0.956318,1.350522,0.278377,140,225,86
134,0,True,0.525875,0.750745,0.457992,-0.067884,0.298824,0.571881,0.115427,-0.183397,64,134,71
135,0,True,1.197490,0.920704,1.640790,0.443299,1.024484,0.899035,1.222777,0.198293,265,364,100
136,0,True,1.354473,0.921427,0.598932,-0.755542,0.744416,1.068303,0.278595,-0.465821,81,173,93
137,0,True,0.459241,0.210347,1.008467,0.549226,0.098022,0.226325,0.730046,0.632024,130,163,34
138,0,True,0.377792,0.218666,0.853425,0.475633,0.078679,0.252619,0.520247,0.441568,184,216,33
139,0,True,0.566795,0.772805,0.823695,0.256899,0.455568,1.059578,0.384153,-0.071415,106,202,97
140,0,True,0.398825,0.257594,0.789603,0.390779,0.147428,0.223609,0.545092,0.397664,121,153,33
141,0,True,0.293927,0.238540,0.583678,0.289751,0.058323,0.207485,0.423752,0.365429,129,165,37
142,0,True,0.951059,0.808702,1.137518,0.186459,0.421459,1.060314,0.662989,0.241530,89,163,75
142,1,True,0.477426,0.065960,0.783013,0.305588,0.261172,0.045045,0.167154,-0.094018,319,393,75
143,0,True,0.745800,0.760448,0.750240,0.004439,0.772229,0.982592,0.703339,-0.068890,74,149,76
144,0,True,0.495795,1.300977,2.532012,2.036217,1.299506,1.208208,1.641964,0.342458,759,815,57
145,0,True,1.509699,0.892998,0.869691,-0.640008,0.925112,0.840330,1.350621,0.425510,253,339,87
146,0,True,1.090707,0.990710,0.903944,-0.186763,1.223553,1.179223,0.788477,-0.435075,215,289,75
147,0,True,0.375687,0.259350,0.685453,0.309767,0.077519,0.216147,0.424817,0.347298,218,252,35
148,0,True,0.491614,0.223612,0.824419,0.332805,0.160925,0.257800,0.303316,0.142391,140,172,33
149,0,True,1.192241,0.961890,1.186179,-0.006063,0.557564,1.183223,0.577315,0.019751,212,299,88
150,0,True,0.917277,0.196222,0.777689,-0.139588,0.497845,0.232054,0.658373,0.160528,123,158,36
151,0,True,0.300946,0.260137,0.765436,0.464490,0.060069,0.224902,0.357543,0.297475,148,180,33
152,0,True,0.427371,0.324842,0.765555,0.338184,0.491329,0.242793,0.332679,-0.158650,258,288,31
153,0,True,1.639304,0.967491,0.991709,-0.647595,0.950775,1.305072,0.597763,-0.353012,210,309,100
154,0,True,0.541955,0.223789,0.760853,0.218898,0.340760,0.192736,1.028438,0.687679,440,475,36
155,0,True,1.191997,0.844339,0.711290,-0.480707,0.668273,0.877004,0.471621,-0.196652,202,285,84
156,0,True,0.771129,0.269546,0.624564,-0.146565,0.620268,0.217468,0.479810,-0.140458,144,178,35
157,0,True,0.463948,1.098936,0.817367,0.353419,1.060799,1.513098,0.231523,-0.829276,315,396,82
157,1,True,0.493994,1.167627,1.483753,0.989759,1.560001,1.274476,0.987252,-0.572749,549,610,62
158,0,True,1.287646,0.860070,0.963224,-0.324422,2.149132,0.814435,0.539888,-1.609244,161,256,96
159,0,True,0.328131,0.239786,0.609213,0.281082,0.067954,0.257291,0.374104,0.306150,111,142,32
160,0,True,0.406482,0.257327,0.894767,0.488285,0.368762,0.227861,0.365434,-0.003329,142,177,36
161,0,True,0.327820,0.255145,0.778986,0.451167,0.062402,0.225683,0.543839,0.481437,132,167,36
162,0,True,0.710295,0.257338,0.767429,0.057134,0.723974,0.254167,0.342188,-0.381785,124,154,31
163,0,True,0.449417,0.281692,0.986824,0.537407,0.095464,0.263932,0.442254,0.346790,201,234,34
164,0,True,1.477754,0.957398,1.346910,-0.130844,0.874251,1.103340,1.319020,0.444769,49,124,76
165,0,True,0.719459,0.210317,0.594326,-0.125133,0.222467,0.216382,0.512370,0.289903,128,163,36
166,0,True,1.248541,0.196448,1.037759,-0.210782,0.859398,0.252721,0.473226,-0.386173,65,98,34
167,0,True,0.299854,0.320184,0.661501,0.361647,0.056200,0.301729,0.413416,0.357216,171,200,30
168,0,True,1.492736,0.856845,0.852853,-0.639883,1.144565,1.004707,0.549417,-0.595148,189,265,77
169,0,True,0.399095,0.251005,0.785581,0.386486,0.074134,0.224518,0.537102,0.462969,263,299,37
170,0,True,1.317551,0.838305,1.315566,-0.001985,0.690284,1.035661,0.848254,0.157970,166,242,77
171,0,True,1.580657,1.009646,1.727797,0.147140,1.454597,1.197608,0.992529,-0.462069,398,490,93
172,0,True,1.308995,0.709807,0.457229,-0.851766,1.088450,0.808077,0.357090,-0.731361,82,146,65
173,0,True,0.571181,0.282144,0.732319,0.161139,0.146853,0.258920,0.561966,0.415113,123,154,32
174,0,True,1.427028,1.084743,1.348463,-0.078565,1.643521,1.446816,1.418487,-0.225033,115,213,99
175,0,True,1.364013,0.764569,0.663640,-0.700373,1.452591,0.790940,0.723760,-0.728830,141,216,76
176,0,True,0.987414,0.678862,1.039758,0.052344,0.537118,0.499345,0.855816,0.318699,100,171,72
177,0,True,0.523905,0.288155,0.599640,0.075736,0.184080,0.267581,0.502057,0.317977,105,134,30
178,0,True,1.632492,0.753174,0.777086,-0.855406,1.780946,1.123081,0.242210,-1.538736,661,741,81
179,0,True,1.385572,1.037031,1.452215,0.066643,0.889265,1.181048,1.454558,0.565293,201,288,88
180,0,True,0.352354,0.214342,0.707958,0.355604,0.072527,0.234641,0.593993,0.521465,108,142,35
181,0,True,1.018399,0.221226,0.696359,-0.322039,0.884530,0.223917,0.269706,-0.614824,173,205,33
182,0,True,0.382691,0.220691,0.909690,0.526999,0.071790,0.231369,0.412709,0.340919,172,204,33
183,0,True,0.417714,0.237228,0.676970,0.259256,0.115362,0.265641,0.447039,0.331678,170,201,32
184,0,True,0.426307,0.249984,0.672838,0.246531,0.091376,0.297163,0.553471,0.462095,186,215,30
185,0,True,1.114516,0.837775,0.785672,-0.328844,0.600119,0.871643,0.504176,-0.095943,136,236,101
186,0,True,1.139601,0.900319,0.752189,-0.387412,1.662384,0.983942,0.821710,-0.840675,82,162,81
187,0,True,1.448117,0.706682,0.472796,-0.975320,1.196017,0.578890,0.188650,-1.007367,58,129,72
188,0,True,0.539466,0.330188,0.638756,0.099289,0.212921,0.242482,0.297503,0.084583,170,202,33
189,0,True,0.926551,0.601018,0.692322,-0.234229,0.993930,0.746216,0.180471,-0.813460,183,270,88
190,0,True,1.027753,0.835152,1.090251,0.062498,0.732074,0.971624,0.517167,-0.214907,74,160,87
191,0,True,0.325397,0.289800,0.674094,0.348697,0.068064,0.268944,0.377641,0.309577,124,153,30
192,0,True,1.870879,1.037704,1.830676,-0.040204,1.388218,1.654305,1.729189,0.340971,222,310,89
193,0,True,1.389314,0.709854,0.625304,-0.764010,1.404103,0.657723,0.351821,-1.052282,112,197,86
194,0,True,0.344948,0.206356,0.630361,0.285413,0.077124,0.219986,0.400648,0.323524,127,162,36
195,0,True,0.352126,0.211537,0.611604,0.259478,0.069467,0.208279,0.678292,0.608826,120,155,36
196,0,True,0.304395,0.221072,0.677555,0.373160,0.063091,0.252843,0.471072,0.407981,120,152,33
197,0,True,1.538312,1.029427,1.548704,0.010392,1.248681,1.299359,1.510246,0.261565,525,631,107
198,0,True,1.293938,0.230362,1.589603,0.295665,0.670482,0.238199,2.363437,1.692955,322,352,31
199,0,True,0.725153,0.730937,0.912852,0.187700,0.191059,0.810260,0.446719,0.255660,272,362,91
