sample_id,is_correct,num_meta_blocks,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,full_sequence_entropy,full_sequence_surprisal,completion_length_tokens
65,True,1,1.989198,1.107813,0.754431,-1.234767,1.648735,1.176065,0.498212,-1.150523,0.393706,0.495119,2061
66,True,1,1.356984,0.737921,0.592265,-0.764718,1.313647,0.658801,0.209978,-1.103668,0.380394,0.477628,321
67,True,1,0.350488,0.220155,0.658246,0.307757,1.116014,0.257134,0.302364,-0.813650,0.206265,0.197040,168
68,True,1,2.557381,1.308825,1.714980,-0.842401,1.858613,1.324078,0.984081,-0.874532,0.856925,0.906754,2450
69,True,1,0.331414,0.249822,0.670697,0.339284,0.065689,0.203155,0.436814,0.371125,0.174995,0.145444,183
70,True,1,0.627028,0.262330,0.639294,0.012265,0.291512,0.259913,0.393192,0.101680,0.161105,0.198162,215
71,True,1,1.437320,1.019117,1.115497,-0.321823,6.401529,1.188155,0.581933,-5.819597,0.624223,0.712997,1182
72,True,1,1.641472,0.855411,0.807139,-0.834333,1.300682,0.866658,0.448469,-0.852213,0.363359,0.361447,911
73,True,2,2.283144,1.289158,1.247642,-1.035502,2.218928,1.679074,1.290101,-0.928827,0.621717,0.768425,3610
74,True,1,1.478604,0.652773,0.676320,-0.802284,2.136586,0.717780,0.250957,-1.885629,0.453102,0.583471,300
75,True,1,0.393173,0.296910,0.649454,0.256281,0.087162,0.239831,0.363216,0.276053,0.233048,0.256922,153
76,True,1,1.297842,1.079986,0.985023,-0.312819,7.545947,0.990410,1.076550,-6.469398,0.674720,0.718372,571
77,True,1,1.761023,0.975166,0.780537,-0.980485,1.488833,1.217456,0.370187,-1.118647,0.417178,0.663553,363
78,True,1,0.811636,0.274656,0.657792,-0.153844,0.473323,0.258642,0.443773,-0.029550,0.372403,0.325238,138
79,True,1,0.612067,0.236292,0.672327,0.060260,0.663883,0.211453,0.487706,-0.176177,0.265978,0.235382,187
80,True,1,0.438049,0.204038,0.854655,0.416606,0.081437,0.270417,0.437288,0.355851,0.236377,0.193459,196
81,True,1,0.607329,0.269852,0.798280,0.190951,0.338411,0.261497,0.327309,-0.011102,0.279069,0.293567,126
82,True,1,0.348042,0.233917,0.828316,0.480274,0.066390,0.263326,0.412323,0.345934,0.307167,0.377478,178
83,True,1,0.906902,0.767387,0.535663,-0.371239,0.309734,0.799664,0.162396,-0.147339,0.403801,0.530433,279
84,True,1,0.310502,0.240507,0.824616,0.514114,0.060764,0.274925,0.478108,0.417344,0.189025,0.194854,132
85,True,1,0.311467,0.224401,0.655554,0.344087,0.061713,0.248683,0.552520,0.490807,0.217960,0.278587,160
86,True,1,1.077025,0.871897,0.849305,-0.227720,0.962004,0.999181,0.828138,-0.133866,0.426682,0.627756,400
87,True,1,1.141128,0.650960,0.899338,-0.241790,2.163770,0.844782,0.578702,-1.585068,0.444433,0.602642,215
88,True,1,0.452350,0.217026,0.910845,0.458495,0.146897,0.207218,0.457105,0.310208,0.210760,0.185054,135
89,True,2,1.269389,0.579806,0.849850,-0.419539,2.320516,0.614711,1.587174,-0.733342,0.381142,0.421720,1785
90,True,1,1.981180,0.929403,1.167492,-0.813688,1.721154,0.944247,0.398832,-1.322322,0.415164,0.472481,492
91,True,1,1.545835,1.136197,1.289258,-0.256577,1.301320,1.063614,1.322181,0.020861,0.614115,0.718264,2781
92,True,1,0.311842,0.303426,0.935505,0.623662,0.064224,0.234589,0.496267,0.432043,0.195968,0.171875,217
93,True,1,1.958466,1.021649,1.002450,-0.956016,1.184408,1.024006,0.717746,-0.466662,0.513950,0.541296,349
94,True,1,0.801149,0.290597,0.909787,0.108638,0.182580,0.295354,0.752426,0.569846,0.286542,0.348511,225
95,True,2,0.522128,0.416252,0.835939,0.313811,0.313882,0.818724,0.419435,0.105554,0.293495,0.425072,472
96,True,1,2.465754,1.158586,0.818619,-1.647135,1.252465,1.306165,1.152299,-0.100166,0.497151,0.620824,1120
97,True,1,2.012587,1.221192,1.801195,-0.211392,1.771336,1.180699,0.989812,-0.781524,0.775396,0.844709,2674
98,True,2,1.441999,0.464086,1.015241,-0.426758,1.588908,0.600810,1.104763,-0.484145,0.356160,0.411867,1619
99,True,1,2.420511,1.241980,1.056370,-1.364141,1.431616,1.343717,1.007560,-0.424056,1.197458,1.395929,3843
100,True,1,0.430219,0.248758,0.717793,0.287574,0.628359,0.248682,0.371750,-0.256609,0.198465,0.246447,152
101,True,2,1.271932,0.440422,0.639167,-0.632765,1.446174,0.537612,0.395733,-1.050442,0.239400,0.258870,692
102,True,1,1.409401,0.865003,0.569501,-0.839899,0.643953,1.152904,0.454283,-0.189670,0.456420,0.671983,435
103,True,1,0.851193,0.657111,0.776562,-0.074631,0.449358,0.822833,0.432471,-0.016886,0.293762,0.553581,414
104,True,1,0.358057,0.196844,0.792335,0.434278,0.068429,0.224277,0.378830,0.310402,0.234534,0.218855,179
105,True,1,1.869769,1.107822,1.446520,-0.423249,1.865475,1.219060,1.963647,0.098172,0.875284,0.971763,914
106,True,1,1.816426,0.784201,1.016073,-0.800353,1.819174,0.891004,0.473090,-1.346084,0.430234,0.504847,508
107,True,1,1.469424,0.803497,1.609614,0.140190,0.637543,0.931910,1.457242,0.819699,0.411233,0.472964,540
108,True,1,0.299782,0.242115,0.807225,0.507443,0.059663,0.256214,0.342305,0.282641,0.209197,0.193518,170
109,True,1,0.361501,0.278357,0.801919,0.440418,0.082089,0.236008,0.426815,0.344726,0.226289,0.227779,178
110,True,1,0.544200,0.272242,0.858976,0.314776,1.533453,0.238855,0.457698,-1.075755,0.337684,0.538447,126
111,True,1,2.250600,0.955888,1.381259,-0.869341,1.536273,1.083284,0.903933,-0.632340,0.467940,0.536881,671
112,True,1,0.307086,0.224611,0.661036,0.353950,0.061232,0.263365,0.303305,0.242073,0.244680,0.389828,183
113,True,1,1.437662,0.964138,1.535099,0.097437,0.563149,0.895014,0.700026,0.136877,0.585478,0.717083,1105
114,True,1,1.249440,0.681833,0.976568,-0.272872,0.994705,1.020143,1.248527,0.253822,0.363278,0.432006,399
115,True,1,0.485588,0.241966,0.783361,0.297773,0.339860,0.220691,0.494006,0.154146,0.214147,0.195413,114
116,True,1,0.822180,0.559476,0.816574,-0.005606,0.727022,1.032019,0.257286,-0.469736,0.469505,0.673830,184
117,True,1,0.353675,0.273707,0.720839,0.367164,0.070277,0.235909,0.472366,0.402090,0.237119,0.179396,264
118,True,1,1.394473,1.106203,0.758792,-0.635681,1.319184,1.300136,0.778697,-0.540487,0.397848,0.503482,834
119,True,1,1.536697,0.674463,1.628437,0.091740,1.068746,1.097247,1.290095,0.221349,0.491278,0.598700,407
120,True,1,1.972678,1.015404,1.558863,-0.413815,1.742792,1.213589,1.236218,-0.506574,0.789194,0.840308,187
121,True,1,0.316148,0.244041,0.630418,0.314269,0.065692,0.229422,0.466537,0.400845,0.185607,0.173573,139
122,True,1,0.966414,1.136992,1.009555,0.043141,1.124112,1.347076,0.577816,-0.546296,0.830018,1.028006,290
123,True,1,0.376574,0.207013,0.798273,0.421699,0.080804,0.202800,0.622422,0.541617,0.246421,0.206665,148
124,True,1,0.474311,0.310619,0.832915,0.358604,0.142813,0.309373,0.819906,0.677093,0.184722,0.291696,215
125,True,1,1.530041,0.875799,1.197574,-0.332467,1.648846,1.083833,1.269575,-0.379271,0.812647,0.872747,1429
126,True,1,1.461777,0.695862,0.723640,-0.738137,0.737422,0.790004,0.840434,0.103012,0.450006,0.542634,319
127,True,1,0.355469,0.271482,0.682325,0.326856,0.066102,0.245312,0.430677,0.364575,0.265139,0.292771,93
128,True,1,0.902147,0.727622,0.478057,-0.424091,0.935868,0.904912,0.113020,-0.822848,0.573090,0.730017,186
129,True,1,1.446506,0.831907,0.949558,-0.496948,0.998785,0.872631,1.425772,0.426987,0.506477,0.575159,1030
130,True,1,0.952531,0.318090,1.682502,0.729971,0.263711,0.243312,1.015863,0.752151,0.411309,0.413224,485
131,True,1,1.872270,1.027490,0.962196,-0.910074,0.924875,1.349039,0.649682,-0.275193,0.510370,0.640452,4447
132,True,1,1.189575,0.209272,0.925891,-0.263685,1.448349,0.197404,0.411935,-1.036414,0.359444,0.363699,143
133,True,1,1.720418,0.926180,1.166234,-0.554184,1.072144,0.956318,1.350522,0.278377,0.573988,0.574013,271
134,True,1,0.525875,0.750745,0.457992,-0.067884,0.298824,0.571881,0.115427,-0.183397,0.470214,0.409701,180
135,True,1,1.197490,0.920704,1.640790,0.443299,1.024484,0.899035,1.222777,0.198293,0.598846,0.637981,3008
136,True,1,1.354473,0.921427,0.598932,-0.755542,0.744416,1.068303,0.278595,-0.465821,0.586061,0.647574,252
137,True,1,0.459241,0.210347,1.008467,0.549226,0.098022,0.226325,0.730046,0.632024,0.244855,0.263434,139
138,True,1,0.377792,0.218666,0.853425,0.475633,0.078679,0.252619,0.520247,0.441568,0.219426,0.232337,168
139,True,1,0.566795,0.772805,0.823695,0.256899,0.455568,1.059578,0.384153,-0.071415,0.340645,0.491365,500
140,True,1,0.398825,0.257594,0.789603,0.390779,0.147428,0.223609,0.545092,0.397664,0.251341,0.224949,136
141,True,1,0.293927,0.238540,0.583678,0.289751,0.058323,0.207485,0.423752,0.365429,0.167397,0.128618,153
142,True,2,0.714242,0.437331,0.960266,0.246023,0.341316,0.552680,0.415071,0.073756,0.384938,0.515365,475
143,True,1,0.745800,0.760448,0.750240,0.004439,0.772229,0.982592,0.703339,-0.068890,0.392960,0.471219,253
144,True,1,0.495795,1.300977,2.532012,2.036217,1.299506,1.208208,1.641964,0.342458,0.428801,0.592482,861
145,True,1,1.509699,0.892998,0.869691,-0.640008,0.925112,0.840330,1.350621,0.425510,0.465747,0.460848,324
146,True,1,1.090707,0.990710,0.903944,-0.186763,1.223553,1.179223,0.788477,-0.435075,0.419432,0.638598,421
147,True,1,0.375687,0.259350,0.685453,0.309767,0.077519,0.216147,0.424817,0.347298,0.199338,0.208572,226
148,True,1,0.491614,0.223612,0.824419,0.332805,0.160925,0.257800,0.303316,0.142391,0.264992,0.278296,142
149,True,1,1.192241,0.961890,1.186179,-0.006063,0.557564,1.183223,0.577315,0.019751,0.468741,0.493525,2360
150,True,1,0.917277,0.196222,0.777689,-0.139588,0.497845,0.232054,0.658373,0.160528,0.231028,0.275694,154
151,True,1,0.300946,0.260137,0.765436,0.464490,0.060069,0.224902,0.357543,0.297475,0.288082,0.256343,152
152,True,1,0.427371,0.324842,0.765555,0.338184,0.491329,0.242793,0.332679,-0.158650,0.328762,0.302635,205
153,True,1,1.639304,0.967491,0.991709,-0.647595,0.950775,1.305072,0.597763,-0.353012,0.351186,0.450911,727
154,True,1,0.541955,0.223789,0.760853,0.218898,0.340760,0.192736,1.028438,0.687679,0.328126,0.326339,215
155,True,1,1.191997,0.844339,0.711290,-0.480707,0.668273,0.877004,0.471621,-0.196652,0.645604,0.688310,202
156,True,1,0.771129,0.269546,0.624564,-0.146565,0.620268,0.217468,0.479810,-0.140458,0.186394,0.150506,131
157,True,2,0.478971,1.133281,1.150560,0.671589,1.310400,1.393787,0.609388,-0.701012,0.523922,0.653842,584
158,True,1,1.287646,0.860070,0.963224,-0.324422,2.149132,0.814435,0.539888,-1.609244,0.460668,0.529652,491
159,True,1,0.328131,0.239786,0.609213,0.281082,0.067954,0.257291,0.374104,0.306150,0.208258,0.204270,122
160,True,1,0.406482,0.257327,0.894767,0.488285,0.368762,0.227861,0.365434,-0.003329,0.189285,0.181163,136
161,True,1,0.327820,0.255145,0.778986,0.451167,0.062402,0.225683,0.543839,0.481437,0.199186,0.193653,132
162,True,1,0.710295,0.257338,0.767429,0.057134,0.723974,0.254167,0.342188,-0.381785,0.219340,0.201093,141
163,True,1,0.449417,0.281692,0.986824,0.537407,0.095464,0.263932,0.442254,0.346790,0.576832,0.580534,193
164,True,1,1.477754,0.957398,1.346910,-0.130844,0.874251,1.103340,1.319020,0.444769,0.493737,0.562449,268
165,True,1,0.719459,0.210317,0.594326,-0.125133,0.222467,0.216382,0.512370,0.289903,0.225427,0.178532,132
166,True,1,1.248541,0.196448,1.037759,-0.210782,0.859398,0.252721,0.473226,-0.386173,0.308542,0.231093,111
167,True,1,0.299854,0.320184,0.661501,0.361647,0.056200,0.301729,0.413416,0.357216,0.201843,0.245989,162
168,True,1,1.492736,0.856845,0.852853,-0.639883,1.144565,1.004707,0.549417,-0.595148,0.377067,0.510031,615
169,True,1,0.399095,0.251005,0.785581,0.386486,0.074134,0.224518,0.537102,0.462969,0.205668,0.215930,261
170,True,1,1.317551,0.838305,1.315566,-0.001985,0.690284,1.035661,0.848254,0.157970,0.390559,0.628999,526
