
sample_id,is_correct,num_meta_blocks,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,full_sequence_entropy,full_sequence_surprisal,completion_length_tokens
78,True,1,0.286670,0.268051,0.636606,0.349936,0.057123,0.203973,0.346983,0.289860,0.178219,0.093960,183
79,True,1,0.362073,0.278721,0.644910,0.282837,0.085686,0.236302,0.323528,0.237842,0.237345,0.136452,120
80,True,1,0.378515,0.278568,0.633600,0.255085,0.149981,0.228437,0.354961,0.204980,0.191314,0.107421,150
81,True,1,0.369808,0.268360,0.620055,0.250247,0.085171,0.221731,0.361510,0.276338,0.186107,0.106442,159
82,True,1,0.300211,0.277760,0.630996,0.330785,0.066117,0.228113,0.332812,0.266696,0.137070,0.079881,145
83,True,1,0.435114,0.304722,0.632465,0.197351,0.139201,0.235467,0.372025,0.232824,0.209586,0.126759,128
84,True,1,0.300691,0.260216,0.640645,0.339953,0.059752,0.200686,0.348209,0.288457,0.138080,0.075589,175
85,True,1,0.287898,0.271481,0.629782,0.341884,0.054144,0.226984,0.358428,0.304284,0.206065,0.116822,126
86,True,1,0.347519,0.270731,0.632538,0.285019,0.092709,0.226840,0.345331,0.252623,0.232192,0.145973,139
87,True,1,0.280824,0.287093,0.620496,0.339672,0.054120,0.233374,0.283593,0.229473,0.222158,0.116813,200
88,True,1,0.318357,0.279531,0.545833,0.227476,0.070495,0.214201,0.295408,0.224913,0.168196,0.097820,153
89,True,1,0.369704,0.271234,0.626179,0.256474,0.109853,0.230164,0.331608,0.221755,0.198459,0.118426,116
90,True,1,0.297285,0.268050,0.625159,0.327874,0.061024,0.205407,0.317832,0.256808,0.162108,0.087316,150
91,True,1,0.262522,0.288371,0.547603,0.285081,0.048489,0.231691,0.289474,0.240985,0.160103,0.097254,127
92,True,1,0.296092,0.278650,0.626225,0.330133,0.054854,0.221369,0.307126,0.252272,0.139781,0.077168,170
93,True,1,0.319879,0.279055,0.635498,0.315619,0.073507,0.225933,0.320784,0.247277,0.239686,0.122992,179
94,True,1,0.281239,0.268395,0.638705,0.357465,0.059450,0.211208,0.350837,0.291386,0.159304,0.092316,188
95,True,1,0.307284,0.279060,0.614972,0.307688,0.062606,0.222410,0.304322,0.241716,0.159321,0.084939,194
96,True,1,0.430778,0.280910,0.617271,0.186493,0.128158,0.237807,0.303319,0.175161,0.185779,0.112643,105
97,True,1,0.274629,0.271145,0.628046,0.353417,0.053701,0.218319,0.361225,0.307524,0.217305,0.124561,158
98,True,1,0.307349,0.280146,0.640630,0.333282,0.057763,0.228740,0.358811,0.301048,0.247748,0.127784,192
99,True,1,0.266643,0.269374,0.629710,0.363067,0.052935,0.217116,0.348995,0.296060,0.181237,0.105891,135
100,False,1,0.295071,0.285849,0.648826,0.353755,0.058244,0.228963,0.327733,0.269489,0.160755,0.089296,225
101,True,1,0.325031,0.284796,0.635782,0.310751,0.072487,0.231955,0.352424,0.279937,0.178724,0.101242,175
102,True,1,0.268409,0.266614,0.623900,0.355490,0.055518,0.202236,0.301852,0.246334,0.250568,0.131940,194
103,True,1,0.351308,0.271489,0.639353,0.288045,0.065094,0.226675,0.345060,0.279966,0.236503,0.141025,130
104,True,1,0.308639,0.259416,0.637394,0.328755,0.060426,0.208414,0.349600,0.289174,0.163761,0.092513,182
105,True,1,0.276504,0.280923,0.637732,0.361229,0.051423,0.233284,0.357931,0.306508,0.206017,0.132074,113
106,True,1,0.268420,0.261512,0.615872,0.347451,0.053049,0.208709,0.331313,0.278264,0.166907,0.089341,199
107,True,1,0.280326,0.259251,0.625742,0.345415,0.060888,0.200339,0.323581,0.262693,0.198236,0.099918,251
108,True,1,0.351439,0.261833,0.635894,0.284455,0.097025,0.203513,0.395701,0.298677,0.206029,0.109655,205
109,True,1,0.280039,0.278920,0.644698,0.364659,0.056394,0.232166,0.334737,0.278343,0.195485,0.110748,147
110,True,1,0.264217,0.270711,0.635243,0.371026,0.054878,0.223878,0.335495,0.280616,0.171095,0.103230,144
111,True,1,0.301189,0.267745,0.634075,0.332886,0.059688,0.207442,0.327793,0.268105,0.260857,0.139609,198
112,True,1,0.364714,0.261026,0.636068,0.271355,0.070642,0.203571,0.355221,0.284578,0.224858,0.125369,143
113,True,1,0.299795,0.273593,0.626042,0.326248,0.058677,0.228121,0.366106,0.307429,0.191801,0.122017,114
114,True,1,0.365325,0.280245,0.649297,0.283972,0.091852,0.213934,0.353087,0.261235,0.242631,0.136303,169
115,True,1,0.299449,0.285337,0.640314,0.340865,0.062708,0.231908,0.337641,0.274934,0.193983,0.101987,282
116,True,1,0.276511,0.262746,0.621895,0.345384,0.053900,0.198767,0.337792,0.283892,0.226078,0.116716,158
117,True,1,0.298130,0.281033,0.634154,0.336024,0.096144,0.237498,0.370233,0.274089,0.198845,0.125300,113
118,True,1,0.311763,0.279245,0.649186,0.337422,0.063794,0.233915,0.369981,0.306187,0.193543,0.107411,159
119,False,1,0.726347,0.268413,0.655689,-0.070657,0.197927,0.198187,0.295753,0.097826,0.230569,0.108073,380
