sample_id,block_idx,is_correct,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,meta_start_tok,meta_end_tok,meta_length_tokens
85,0,True,0.020944,0.979364,1.256661,1.235717,3.620068,4.599723,5.712301,2.092233,144,174,31
86,0,True,0.012845,1.211105,2.114389,2.101544,3.797915,5.174561,6.339979,2.542064,177,210,34
87,0,False,0.020549,1.091264,1.154085,1.133536,3.814369,4.649176,4.246311,0.431942,244,277,34
88,0,True,0.522153,0.002503,0.979768,0.457615,5.854806,8.250265,7.889680,2.034873,127,127,1
89,0,True,0.365261,1.253626,1.478757,1.113495,5.630055,4.818209,5.814189,0.184134,147,179,33
90,0,True,0.050809,1.047546,1.016290,0.965481,3.481896,5.167323,4.076579,0.594683,184,216,33
91,0,True,0.128509,1.301814,2.077205,1.948696,3.121585,5.464031,5.534455,2.412870,106,140,35
92,0,True,0.592677,1.278498,1.017933,0.425255,5.745787,4.276412,6.190168,0.444382,159,191,33
93,0,True,0.322596,1.249674,1.429028,1.106431,4.936139,5.495654,5.973555,1.037416,180,214,35
94,0,True,0.013932,1.055909,1.902589,1.888657,3.540517,5.315776,5.838907,2.298391,167,196,30
95,0,True,0.003619,1.282538,1.452650,1.449031,3.914315,3.855586,5.106096,1.191782,187,221,35
96,0,True,0.119903,1.182992,0.915462,0.795559,3.086907,4.183339,5.039781,1.952874,79,111,33
97,0,True,0.046093,0.980650,1.045469,0.999377,3.278604,4.563953,3.702286,0.423681,149,179,31
98,0,True,0.002446,0.000605,1.836718,1.834272,3.750182,10.125048,7.241379,3.491197,262,262,1
99,0,True,0.139833,1.193359,1.380194,1.240361,4.839545,5.324207,5.666749,0.827204,180,213,34
